_id,brand,breadcrumbs,currency,description,image_url,pdp_url,price,product_name,variants
,Adjmi,Home/All Products/J Sport Zip-Up Sweatshirt,USD,"French terry cotton-blend fabric gives our girls’ sweatshirts a cozy finish. They zip up and have a drawstring waistband—for fuss-free wear. A graphic punctuates the front. Plus, logo taping down the long sleeves is an unexpected sporty detail. She can pair them with matching leggings for an easy-to-style outfit.#30766668% cotton and 32% polyesterMachine wash, tumble dryImported",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/307666_black_1_grande.jpg?v=1625011569,https://www.shopjustice.com/collections/all-products/products/full-zip-mock-neck-sweatshirt-307666-black,19.60,J Sport Zip-Up Sweatshirt,"{'size': ['XS (5/6)', 'S (7/8)', 'M (10)', 'L (12/14)', 'XL (16/18)', 'XXL (16P/18P)'], 'color': 'Black'}"
,Adjmi,Home/All Products/Color Block Crop Sweatshirt,USD,"A color-block design highlight our girls’ sweatshirts. The crew neckline and long sleeves with banded cuffs bring classic style. The cropped cut gives them modern edge. The pullover design makes them easy to layer. And soft, cotton jersey fabric promises comfortable wear. She can pair them with leggings or Justice Denim jeans for an easy-to-style outfit.#309554Body: 100% cottonSelf: 95% cotton and 5% elastaneMachine wash, tumble dryImported",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/309554_athletic-blue_1_grande.jpg?v=1625011598,https://www.shopjustice.com/collections/all-products/products/colorblock-crop-sweatshirt-tonal-blue-309554-athletic-blue,15.40,Color Block Crop Sweatshirt,"{'size': ['XS (5/6)', 'S (7/8)', 'M (10)', 'L (12/14)', 'XL (16/18)', 'XXL (16P/18P)'], 'color': 'Athletic Blue'}"
,Adjmi,Home/All Products/Patterned Short Sleeve Tee,USD,"Our girls’ tees have scoop necklines. The soft, cotton-blend fabric promises comfortable wear. Cool sports stripes pop against the brightly hued pattern. And a sweet logo highlights the front. They’re a perfect match for Justice Denim jeans.#30746160% cotton and 40% polyesterMachine wash, tumble dryImported",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/307461_black-rainbow_1-v2_grande.jpg?v=1624918251,https://www.shopjustice.com/collections/all-products/products/blocked-tee-chevron-rainbow-307461-black-rainbow,12.60,Patterned Short Sleeve Tee,"{'size': ['XS (5/6)', 'S (7/8)', 'M (10)', 'L (12/14)', 'XL (16/18)', 'XXL (16P/18P)'], 'color': 'Black Rainbow'}"
,Adjmi,Home/All Products/J Sport Crop Leggings,USD,"We designed our girls’ leggings with a wide waistband and super-stretchy fabric that’s super-comfy and follows her every movement. They sport easy-to-pair hues that are perfect for mixing and matching. Plus, logo taping down the side is an unexpected sporty detail.#45060990% polyester and 10% elastaneMachine wash, tumble dryImported",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/452014_cat-dye-grey_1_grande.jpg?v=1627664876,https://www.shopjustice.com/collections/all-products/products/taping-legging-452014-cat-dye-grey,16.80,J Sport Crop Leggings,"{'size': ['XS (5/6)', 'S (7/8)', 'M (10)', 'L (12/14)', 'XL (16/18)', 'XXL (16P/18P)'], 'color': 'Cat Dye Grey'}"
,Adjmi,Home/All Products/Color Block Crop Sweatshirt,USD,"A standout pattern and color-block design highlight our girls’ sweatshirts. The crew neckline and long sleeves with banded cuffs bring classic style. The cropped cut gives them modern edge. The pullover design makes them easy to layer. And soft, cotton jersey fabric promises comfortable wear. She can pair them with leggings or Justice Denim jeans for an easy-to-style outfit.#309554Body: 100% cottonSelf: 95% cotton and 5% elastaneMachine wash, tumble dryImported",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/309554_black-graffiti_1_grande.jpg?v=1625269779,https://www.shopjustice.com/collections/all-products/products/colorblock-crop-sweatshirt-heart-graffiti-309554-black-graffiti,15.40,Color Block Crop Sweatshirt,"{'size': ['XS (5/6)', 'S (7/8)', 'M (10)', 'L (12/14)', 'XL (16/18)', 'XXL (16P/18P)'], 'color': 'Black Graffiti'}"
,Adjmi,Home/All Products/J Sport Crop Leggings,USD,"We designed our girls’ leggings with a wide waistband and super-stretchy fabric that’s super-comfy and follows her every movement. They sport easy-to-pair hues that are perfect for mixing and matching. Plus, logo taping down the side is an unexpected sporty detail.#45060990% polyester and 10% elastaneMachine wash, tumble dryImported",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/450609_black_1_grande.jpg?v=1625011614,https://www.shopjustice.com/collections/all-products/products/taping-legging-450609-black,16.80,J Sport Crop Leggings,"{'size': ['XS (5/6)', 'S (7/8)', 'M (10)', 'L (12/14)', 'XL (16/18)', 'XXL (16P/18P)'], 'color': 'Black'}"
,Adjmi,Home/All Products/Color Block Scoop Neck Tee,USD,"Our girls’ tees have a standout color block design. The slub-jersey cotton-blend fabric is super-soft and promises daylong comfort. A cool graphic highlights the front. The relaxed cut lends full coverage. And the rounded hemline makes sure her tees add structure to outfits—even when untucked.#30393860% cotton and 40% polyesterMachine wash, tumble dryImported",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/303938_athletic-blue_1_grande.jpg?v=1625011548,https://www.shopjustice.com/collections/all-products/products/side-split-jsport-tee-303938-athletic-blue,12.60,Color Block Scoop Neck Tee,"{'size': ['XS (5/6)', 'S (7/8)', 'M (10)', 'L (12/14)', 'XL (16/18)', 'XXL (16P/18P)'], 'color': 'Athletic Blue'}"
,Adjmi,Home/All Products/Color Block Crop Sweatshirt,USD,"A standout pattern and color-block design highlight our girls’ sweatshirts. The crew neckline and long sleeves with banded cuffs bring classic style. The cropped cut gives them modern edge. The pullover design makes them easy to layer. And soft, cotton jersey fabric promises comfortable wear. She can pair them with leggings or Justice Denim jeans for an easy-to-style outfit.#309554Body: 100% cottonSelf: 95% cotton and 5% elastaneMachine wash, tumble dryImported",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/309554_black-rainbow_1_grande.jpg?v=1625011601,https://www.shopjustice.com/collections/all-products/products/colorblock-crop-sweatshirt-chevron-rainbow-309554-black-rainbow,15.40,Color Block Crop Sweatshirt,"{'size': ['XS (5/6)', 'S (7/8)', 'M (10)', 'L (12/14)', 'XL (16/18)', 'XXL (16P/18P)'], 'color': 'Black Rainbow'}"
,Adjmi,Home/All Products/J Sport Zip-Up Sweatshirt,USD,"French terry cotton-blend fabric gives our girls’ sweatshirts a cozy finish. They zip up and have a drawstring waistband—for fuss-free wear. A graphic punctuates the front. Plus, logo taping down the long sleeves is an unexpected sporty detail. She can pair them with matching leggings for an easy-to-style outfit.#30766668% cotton and 32% polyesterMachine wash, tumble dryImported",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/307666_athletic-blue_1_grande.jpg?v=1625011562,https://www.shopjustice.com/collections/all-products/products/full-zip-mock-neck-sweatshirt-307666-athletic-blue,19.60,J Sport Zip-Up Sweatshirt,"{'size': ['XS (5/6)', 'S (7/8)', 'M (10)', 'L (12/14)', 'XL (16/18)', 'XXL (16P/18P)'], 'color': 'Athletic Blue'}"
,Adjmi,Home/All Products/Patterned Short Sleeve Tee,USD,"Our girls’ tees have scoop necklines. The soft, cotton-blend fabric promises comfortable wear. Cool sports stripes pop against the brightly hued pattern. And a sweet logo highlights the front. They’re a perfect match for Justice Denim jeans.#30746160% cotton and 40% polyesterMachine wash, tumble dryImported",http://cdn.shopify.com/s/files/1/0543/8547/5781/products/307461_black-graffiti_1_grande.jpg?v=1625011560,https://www.shopjustice.com/collections/all-products/products/blocked-tee-love-graffiti-307461-black-graffiti,12.60,Patterned Short Sleeve Tee,"{'size': ['XS (5/6)', 'S (7/8)', 'M (10)', 'L (12/14)', 'XL (16/18)', 'XXL (16P/18P)'], 'color': 'Black Graffiti'}"
